isbn13,title,authors,categories,average_rating,ratings_count,weighted_rating
9780374528379,The Brothers Karamazov,Fyodor Dostoevsky,Fiction,4.32,177444.0,4.307362454762972
9780451207142,The pillars of the earth,Ken Follett,Fiction,4.31,530446.0,4.305790270668988
9780553383683,Gates Of Fire,Steven Pressfield,Fiction,4.41,20649.0,4.302742202890857
9780679722311,Where I'm Calling from,Raymond Carver,Fiction,4.42,17969.0,4.298245091966278
9780842356299,Remember,Karen Kingsbury;Gary Smalley,Fiction,4.42,17714.0,4.296935471426207
9780394800165,Green Eggs and Ham,Theodor Seuss Geisel;Dr. Seuss,Juvenile Fiction,4.3,539202.0,4.295967808697836
9781401202170,Transmetropolitan: Back on the street,Warren Ellis,Antiheroes,4.51,10070.0,4.2947936099462405
9781421508382,Fullmetal Alchemist,Hiromu Arakawa,Comics & Graphic Novels,4.59,7335.0,4.2946593479990955
9781416903437,Wild Magic,Tamora Pierce,Juvenile Fiction,4.33,58923.0,4.293366198062411
9780851512280,The Valley of Vision,Arthur Bennett,Religion,4.53,8939.0,4.290466169195462
9780812694550,Harry Potter and Philosophy,David Baggett;Shawn Klein;William Irwin,Fiction,4.48,11068.0,4.287920489704385
9780312965785,All Creatures Great and Small,James Herriot,Biography & Autobiography,4.32,65381.0,4.2875205477461265
9780895941411,Sister Outsider,Professor Audre Lorde;Audre Lorde,Social Science,4.48,11007.0,4.287231273361801
9780586217832,Magician,Raymond E. Feist,Adventure stories,4.33,49332.0,4.287015484882019
9780842386876,Rejoice,Karen Kingsbury;Gary Smalley,Fiction,4.46,12187.0,4.28633618651938
9780064410342,Howl's Moving Castle,Diana Wynne Jones,Juvenile Fiction,4.3,148957.0,4.285812662160718
9780060788384,For a Few Demons More,Kim Harrison,Fiction,4.33,47314.0,4.2853882624777855
9780842356220,Redemption,Gary Smalley;Karen Kingsbury,Fiction,4.37,24407.0,4.283886923790724
9780241003008,The Very Hungry Caterpillar,Eric Carle,Babytime resource,4.29,340101.0,4.28382133899933
9780451412355,Lover Revealed,J. R. Ward;Jessica Bird Ward,Fiction,4.3,104180.0,4.280046594386286
9780312241353,And The Band Played on,Randy Shilts,Health & Fitness,4.39,18518.0,4.278307448823252
9781400044160,Half of a Yellow Sun,Chimamanda Ngozi Adichie,Fiction,4.31,63910.0,4.2776944341639185
9780751503890,The Physician,Noah Gordon,Fiction,4.37,22137.0,4.276937938872528
9780312330866,All Things Bright and Beautiful,James Herriot,Biography & Autobiography,4.31,60280.0,4.275924953959085
9781416908173,The Realms of the Gods,Tamora Pierce,Juvenile Fiction,4.32,45112.0,4.274638778891972
9780142437889,Aleph and other stories,Jorge Luis Borges;Andrew Hurley,Fiction,4.38,19310.0,4.274172031457182
9780553381009,Stories,Anton Pavlovich Chekhov,Fiction,4.35,26267.0,4.27256743066061
9781400032921,The Complete Short Novels,Anton Pavlovich Chekhov,Fiction,4.47,10275.0,4.2722415413439645
9780805390452,The Feynman Lectures on Physics,Richard Phillips Feynman;Robert B. Leighton;Matthew Linzee Sands,Science,4.6,6120.0,4.2700879990893394
9781581345278,Piercing the Darkness,Frank E. Peretti,Fiction,4.31,48725.0,4.26872923485252
9780151010264,Animal Farm and 1984,George Orwell,Fiction,4.28,140015.0,4.265764732163894
9780486422459,Letters to a Young Poet,Rainer Maria Rilke;Franz Xaver Kappus;Reginald Snell,Poetry,4.33,30561.0,4.264942474677198
9780743270755,Team of Rivals,Doris Kearns Goodwin,Biography & Autobiography,4.28,125020.0,4.2641354477884414
9780060775858,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,4.27,264013.0,4.26252412103412
9780393316049,"""Surely You're Joking, Mr. Feynman!""",Richard Phillips Feynman;Ralph Leighton,Biography & Autobiography,4.28,105685.0,4.261388797325969
9781930900240,The Brothers Lionheart,Astrid Lindgren;Ilon Wikland;Jill Morgan,Juvenile Fiction,4.36,19745.0,4.260617697588955
9780517092910,The Complete Hans Christian Andersen Fairy Tales,Hans Christian Andersen,Juvenile Fiction,4.28,95929.0,4.259607332598809
9780618260300,"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,Juvenile Fiction,4.26,2364968.0,4.259173920895995
9780552152952,Reaper Man,Terry Pratchett,Discworld (Imaginary place),4.29,59901.0,4.257548017542789
9780743247542,The Glass Castle,Jeannette Walls,Biography & Autobiography,4.26,752358.0,4.2574172897519045
9780345418265,The Princess Bride,William Goldman,Fiction,4.26,673146.0,4.257116053084796
9781416509882,No Rest for the Wicked,Kresley Cole,Fiction,4.3,44804.0,4.256723414259018
9780312966201,The Lord God Made Them All,James Herriot,Biography & Autobiography,4.41,12547.0,4.25587106187721
9780066238500,The Chronicles of Narnia (adult),C. S. Lewis,Fiction,4.26,425445.0,4.255460296936975
9780061120077,A Tree Grows in Brooklyn,Betty Smith,Fiction,4.26,326733.0,4.254113474530395
9780440221661,The Fiery Cross,Diana Gabaldon,Fiction,4.27,120981.0,4.254102807891907
9780195168952,Battle Cry of Freedom,James M. McPherson,History,4.34,22318.0,4.253883648901724
9780143034902,The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,4.26,306069.0,4.253723683191315
9780805210552,The Complete Stories,Franz Kafka,Fiction,4.35,19625.0,4.252491620425632
9780871401526,"Complete Poems, 1904-1962",Edward Estlin Cummings,Poetry,4.35,19244.0,4.251019562550157
9780689878558,Alanna,Tamora Pierce,Juvenile Fiction,4.27,96683.0,4.250340789179278
9780743474160,Paradise,Judith McNaught,Fiction,4.32,26661.0,4.249007815367646
9780385418867,The Power of Myth,Joseph Campbell,Philosophy,4.3,36772.0,4.2485953772038965
9780312085124,James Herriot's Treasury for Children,James Herriot,Juvenile Nonfiction,4.44,9772.0,4.247336607727054
9780292760288,100 Love Sonnets,Pablo Neruda,Poetry,4.4,12284.0,4.246932304092188
9780380813810,Lamb,Christopher Moore,Fiction,4.26,130754.0,4.245677214386168
9780060853983,Good Omens,Neil Gaiman;Terry Pratchett,Fiction,4.25,373135.0,4.24499201379736
9781563899881,The Cure,Warren Ellis,"Comic books, strips, etc",4.43,10076.0,4.244711075810566
9780060012380,The Wee Free Men,Terry Pratchett,Juvenile Fiction,4.27,72982.0,4.2444409287082845
9780671662349,Anne Frank Remembered,Miep Gies;Alison Leslie Gold,History,4.28,52443.0,4.244431897237912
9780310929550,Zondervan NIV Study Bible,Kenneth L. Barker;Donald W. Burdick,Bibles,4.7,4092.0,4.244321504669586
9780671743055,Boy's Life,Robert McCammon,Fiction,4.35,17365.0,4.243057311869208
9780684826806,Survival In Auschwitz,Primo Levi,Biography & Autobiography,4.31,27701.0,4.242977761931752
9780440238607,His Dark Materials,Philip Pullman,Fiction,4.26,102687.0,4.241978312112541
9780345350800,The Best of H.P. Lovecraft,H. P. Lovecraft,Fiction,4.31,26613.0,4.240741374888831
9780060788193,A Fistful of Charms,Kim Harrison,Fiction,4.28,46881.0,4.240690382463467
9780439321624,Quidditch Through the Ages,J. K. Rowling,"Animals, Mythical",4.4,11459.0,4.239696512195788
9780765305114,The Dragon Reborn,Robert Jordan,Fiction,4.25,171922.0,4.239328238894468
9780671741037,Swan Song,Robert McCammon,Fiction,4.28,44348.0,4.238712456583199
9781563892271,Preludes and Nocturnes,Neil Gaiman;Sam Kieth;Mike Dringenberg;Todd Klein;Danny Vozzo,Comics & Graphic Novels,4.25,158629.0,4.238466510176898
9780439968089,Trickster's Choice,Tamora Pierce,Alanna (Fictitious character : Pierce),4.28,43122.0,4.237681849424954
9781582404875,Safety Behind Bars,Robert Kirkman;Charlie Adlard;Cliff Rathburn,Comics & Graphic Novels,4.31,25132.0,4.23744591465029
9780786856862,"The Percy Jackson and the Olympians, Book Two: Sea of Monsters",Rick Riordan,Juvenile Fiction,4.24,594249.0,4.236936675908717
9780451528827,Anne of Green Gables,Lucy Maud Montgomery,Fiction,4.24,583568.0,4.2368811780878906
9780393324815,Moneyball: The Art of Winning an Unfair Game,Michael Lewis,Business & Economics,4.26,78308.0,4.236766636971207
9780413771162,The Truth,Terry Pratchett,Drama,4.28,41665.0,4.2363881060460455
9781557831576,The Reduced Shakespeare Company's the Complete Works of William Shakespeare (abridged),Jess Borgeson;Adam Long;Daniel Singer,Drama,4.46,7970.0,4.233888489783463
9780345409461,The demon-haunted world,Carl Sagan,"Body, Mind & Spirit",4.27,47399.0,4.2321942501949055
9780385313483,The Last Lion,William Manchester,Biography & Autobiography,4.43,8986.0,4.231228095863875
9780394746234,"The Civil War, a Narrative: Fort Sumter to Perryville",Shelby Foote,History,4.42,9457.0,4.231166709598158
9780684843322,The Complete Short Stories Of Ernest Hemingway,Ernest Hemingway,Fiction,4.29,29556.0,4.229846859074916
9780553381542,The Prince of Tides,Pat Conroy,Fiction,4.24,173886.0,4.229777939673248
9780061053566,The Player of Games,Iain Banks,Fiction,4.27,43988.0,4.229614174414785
9780553564938,Magician,Raymond E. Feist,Fiction,4.26,57779.0,4.229287557753865
9780679724773,"I, Claudius",Robert Graves,Fiction,4.27,43469.0,4.229190411980226
9780689860072,Dragonsinger,Anne McCaffrey,Juvenile Fiction,4.28,34207.0,4.228297173648645
9780618260225,The Lord of the Rings,Brian Sibley,Performing Arts,4.46,7624.0,4.228143234130895
9780060512804,Cryptonomicon,Neal Stephenson,Fiction,4.25,80225.0,4.22797833933035
9780670032563,The New Spirit,Havelock Ellis,,4.24,138227.0,4.227250496757349
9780060572976,"The Good, the Bad, and the Undead",Kim Harrison,Fiction,4.26,53112.0,4.226862477613562
9780842387446,Forgiven,Karen Kingsbury,Fiction,4.41,9530.0,4.2259155431349065
9780440184621,Tai-Pan,James Clavell,Fiction,4.27,38015.0,4.224132826344355
9780380809066,The Great Book of Amber,Roger Zelazny,Fiction,4.3,22974.0,4.224109760331717
9780451169518,It,Stephen King,Fiction,4.23,293877.0,4.224068087631131
9781903436578,Shakespeare's Sonnets,William Shakespeare,Drama,4.25,67122.0,4.224031832688378
9780684813783,The Making of the Atomic Bomb,Richard Rhodes,History,4.35,13764.0,4.223565701449794
9780552135399,A Prayer for Owen Meany,John Irving,American fiction,4.23,246360.0,4.222951134788115
9780740721359,Calvin and Hobbes: Sunday Pages 1985-1995,Bill Watterson,Comics & Graphic Novels,4.71,3537.0,4.221496126016521
9780689823824,A Child's Garden of Verses,Robert Louis Stevenson,Juvenile Fiction,4.3,21780.0,4.220847162466364
9780451210852,The Drawing of the Three,Stephen King,Fiction,4.23,163647.0,4.219514257111558
9780143034759,Alexander Hamilton,Ron Chernow,Biography & Autobiography,4.24,82247.0,4.219162156215208
9781563892264,Dream Country,Neil Gaiman;Kelley Jones;Charles Vess,Comics & Graphic Novels,4.24,80439.0,4.218726267741138
9780486275505,"The Road Not Taken, and Other Poems",Robert Frost,Poetry,4.27,33004.0,4.218239066984696
9780618002238,The Two Towers,John Ronald Reuel Tolkien,Fiction,4.44,7687.0,4.217972877320879
9780812513738,The Shadow Rising,Robert Jordan,Fiction,4.23,137790.0,4.217628572556046
9780440242949,Outlander,Diana Gabaldon,Fiction,4.22,627194.0,4.21728536614559
9780553279375,I Know why the Caged Bird Sings,Maya Angelou,Biography & Autobiography,4.22,326424.0,4.214829174644122
9780586203811,Servant of the Empire,Raymond E. Feist;Janny Wurts,Fantasy,4.29,22247.0,4.214278324553392
9781563893308,Kingdom Come,Mark Waid;Alex Ross;Todd Klein,Comics & Graphic Novels,4.25,45332.0,4.213007115502973
9780446676502,"The Autobiography of Martin Luther King, Jr.",Clayborne Carson,Biography & Autobiography,4.34,13079.0,4.2121670728398035
9781579126278,The Murder of Roger Ackroyd,Agatha Christie,Fiction,4.23,93453.0,4.212112909787638
9780679723691,Cathedral,Raymond Carver,Fiction,4.29,21140.0,4.211188982336025
9780552154284,Hogfather,Terry Pratchett,Christmas,4.24,56929.0,4.210777641533304
9781582406121,The Best Defense,Robert Kirkman;Charlie Adlard;Cliff Rathburn,Comics & Graphic Novels,4.29,20937.0,4.21059490554187
9781581345285,This Present Darkness,Frank E. Peretti,Fiction,4.23,82841.0,4.209976146080695
9781842430354,Jitterbug Perfume,Tom Robbins,Fiction,4.24,52696.0,4.208669960085858
9780450040184,The Shining,Stephen King,Boys,4.21,911271.0,4.208191427339471
9780517543054,Be Here Now,Ram Dass,"Body, Mind & Spirit",4.29,20105.0,4.208063508280016
9780679428954,The Complete Collected Poems of Maya Angelou,Maya Angelou,Poetry,4.42,7701.0,4.206952805372251
9780060652890,The Screwtape Letters,C. S. Lewis,Religion,4.22,116735.0,4.205994491528796
9780805080520,The High King,Lloyd Alexander,Juvenile Fiction,4.24,47268.0,4.2054770298287965
9780395883976,The Gettysburg Address,Abraham Lincoln,Juvenile Nonfiction,4.53,4967.0,4.203658990896097
9780385495325,The Code Book,Simon Singh,History,4.31,15078.0,4.202827238771736
9780394820378,The Phantom Tollbooth,Norton Juster,Juvenile Fiction,4.21,206193.0,4.2021816845105135
9780582418172,The Body,Stephen King;Robin Waterfield,Friendship in adolescence,4.26,27417.0,4.201377225700764
9780385311779,Rain of Gold,Victor Villaseñor,Biography & Autobiography,4.48,5673.0,4.199094263792474
9780316156110,Consider the Lobster,David Foster Wallace,Literary Criticism & Collections,4.25,30787.0,4.198378027745025
9780006498865,The Mad Ship,Robin Hobb,Fantasy fiction,4.24,36101.0,4.196318581634522
9780393327342,Fight Club: A Novel,Chuck Palahniuk,Fiction,4.2,384407.0,4.195904186677567
9780812973013,Mountains Beyond Mountains,Tracy Kidder,Biography & Autobiography,4.22,59877.0,4.193905191721132
9780451216953,Dark Lover,J. R. Ward,Fiction,4.2,250693.0,4.19377057966669
9781563898945,Transmetropolitan: Spider's thrash,Warren Ellis,Antiheroes,4.32,12298.0,4.19326199439453
9780767908184,A Short History of Nearly Everything,Bill Bryson,Science,4.2,228522.0,4.193181652173874
9781401210014,Fables: Wolves,Bill Willingham,"Comic books, strips, etc",4.28,17506.0,4.191551792289922
9780345418906,"Life, the Universe and Everything",Douglas Adams,Fiction,4.2,158946.0,4.190305481896934
9780886774264,Magic's Price,Mercedes Lackey,Fiction,4.27,18397.0,4.1872401248436955
9780141186351,Giovanni's Room,James Baldwin,Fiction,4.23,35090.0,4.186702450633018
9780316000956,Trials of Death,Darren Shan,Juvenile Fiction,4.25,23943.0,4.186576256377099
9780671727796,The Color Purple,Alice Walker,Fiction,4.19,425928.0,4.186436679035748
9780312194390,The Autobiography of Henry VIII,Margaret George,Fiction,4.25,23573.0,4.185782554600903
9780553575651,Ship of Destiny,Robin Hobb,Fiction,4.22,44120.0,4.1857002580149745
9780312243357,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,History,4.25,23498.0,4.185619241468874
9780805073669,In Harm's Way,Doug Stanton,History,4.28,15946.0,4.185262643662338
9780739422953,The Last Herald-mage,Mercedes Lackey,"Fantasy fiction, American",4.48,5107.0,4.18477092452593
9780689878589,The Woman Who Rides Like a Man,Tamora Pierce,Juvenile Fiction,4.21,58610.0,4.184321120918359
9780142437018,A Little Princess,Frances Hodgson Burnett,Fiction,4.19,232387.0,4.183543617623394
9780553803709,"I, Robot",Isaac Asimov,Fiction,4.19,225145.0,4.183341326911358
9781401210076,Neil Gaiman's Neverwhere,Mike Carey;Glenn Fabry;Tony Luke,Comics & Graphic Novels,4.23,31958.0,4.183129236980836
9780312289515,The Christmas Shoes,Donna VanLiere,Fiction,4.23,31800.0,4.182933287160246
9780140150742,The Portable Dorothy Parker,Dorothy Parker,Literary Collections,4.34,9391.0,4.18152223572608
9780743477888,Undaunted Courage,Stephen E. Ambrose,Explorers,4.22,38555.0,4.1814155091382705
9780060256579,The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,4.33,10010.0,4.181397119645631
9780618258024,The Lord of the Rings,Jude Fisher,Fiction,4.51,4501.0,4.180589699594439
9780310247562,Ever After,Karen Kingsbury,Fiction,4.32,10520.0,4.179615972323373
9781563054426,Barnyard Dance!,Sandra Boynton,Juvenile Fiction,4.25,20885.0,4.1793603919514455
9780451188458,The Bone Collector,Jeffery Deaver,Fiction,4.19,132188.0,4.178861918349769
9780872203495,Complete Works,Plato,Fiction,4.34,9079.0,4.178241699478773
9780961392147,The Visual Display of Quantitative Information,Edward R. Tufte,Mathematics,4.41,6296.0,4.177472462108668
9780345477361,Darth Bane,Drew Karpyshyn,Fiction,4.27,15796.0,4.17736101311284
9780439554893,Harry Potter and the Chamber of Secrets,J. K. Rowling;Mary GrandPre,Juvenile Fiction,4.41,6267.0,4.176922448968735
9780393320923,"""What Do You Care what Other People Think?""",Richard Phillips Feynman;Ralph Leighton,BIOGRAPHY & AUTOBIOGRAPHY,4.27,15646.0,4.176718853701905
9780345456328,The Belgariad V.2,David Eddings,Fantasy,4.28,14129.0,4.1767080448244585
9781421504032,Bleach,Tite Kubo,Comics & Graphic Novels,4.36,7914.0,4.176072440990774
9780060730550,Touching the Void,Joe Simpson,Sports & Recreation,4.21,42264.0,4.175623009080893
9780425182871,Chosen Prey,John Sandford,Fiction,4.24,22258.0,4.174914860580291
9781416509875,A Hunger Like No Other,Kresley Cole,Fiction,4.2,54596.0,4.173609071823285
9780060622138,Shadow of the Almighty,Elisabeth Elliot,Religion,4.39,6658.0,4.173600510223808
9780060733353,The Confusion,Neal Stephenson,Fiction,4.25,18790.0,4.173389021010923
9781405201711,The Faraway Tree Stories,Enid Blyton,"Children's stories, English",4.29,12286.0,4.173014946180447
9780060885373,Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,4.18,193862.0,4.172598935754597
9781421506296,Death Note,Tsugumi Ohba;Takeshi Obata,Comics & Graphic Novels,4.26,16310.0,4.1721831327259
9780886774639,By the Sword,Mercedes Lackey,Fiction,4.25,18245.0,4.1716664138281
9780312151256,The Far Pavilions,M. M. Kaye,Fiction,4.21,36300.0,4.170775323602914
9780553380965,The Diamond Age,Neal Stephenson,Fiction,4.19,68751.0,4.169408796729768
9780345373946,Anne Rice's the Vampire Lestat,Faye Perozich;Anne Rice;Daerick Gross,Humor,4.19,67983.0,4.169195024821736
9780395754900,The Riverside Shakespeare,William Shakespeare;Gwynne Blakemore Evans;Irving Babbitt Professor of Comparative Literature Harry Levin;Herschel Baker;J. J. M. Tobin;Anne Barton;Heather Dubrow;William T. Liston;Frank Kermode;Harry Levin;Marie Edel;Hallet Smith;Charles H. Shattuck,Drama,4.55,3702.0,4.1687159645155045
9780312353766,The Red Tent,Anita Diamant,Fiction,4.17,453899.0,4.166914040093019
9780060584757,Mystic River,Dennis Lehane,Fiction,4.18,105317.0,4.166711542332974
9780330371230,High Five,Janet Evanovich,Bail bond agents,4.18,99172.0,4.1659350731821485
9780394757681,The Long Goodbye,Raymond Chandler,Fiction,4.22,25244.0,4.164973659812209
9780345340443,The Belgariad Boxed Set,David Eddings,Fiction,4.27,13225.0,4.164967853731164
9780385493628,Fermat's Enigma,Simon Singh,Mathematics,4.24,18495.0,4.164913517910383
9780824512590,In the Name of Jesus,Henri J. M. Nouwen,Religion,4.35,7501.0,4.164884558605994
9780226020457,The Bridge on the Drina,Ivo Andríc,Fiction,4.33,8401.0,4.1647861788539835
9780590032490,The witches,Roald Dahl,Juvenile Nonfiction,4.17,254867.0,4.1645595043896835
9781585424337,Think and Grow Rich,Napoleon Hill;Arthur R. Pell,Business & Economics,4.18,88437.0,4.164336147102956
9780586066881,A Darkness at Sethanon,Raymond E. Feist,English fiction,4.19,49946.0,4.162486687879601
9780446500036,Kushiel's Justice,Jacqueline Carey,Fiction,4.25,15531.0,4.161789305316977
9780684845777,Unlimited Power,Tony Robbins,Self-Help,4.22,23058.0,4.160833129554458
9780060885434,Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,4.18,70683.0,4.160709260755044
9780747541608,"The Gashlycrumb Tinies, Or, After the Outing",Edward Gorey,"American wit and humor, Pictorial",4.19,46225.0,4.160526127454845
9780312890186,Sword & Citadel,Gene Wolfe,Fiction,4.31,9103.0,4.1604089396352695
9780064410939,Charlotte's Web (full color),E. B. White,Juvenile Fiction,4.16,1229902.0,4.158900168485128
9780451530097,Pygmalion,Bernard Shaw;Alan Jay Lerner,Fiction,4.25,14709.0,4.158286826551169
9780312966973,Four to Score,Janet Evanovich,Fiction,4.17,114593.0,4.158230755620719
9780375724428,The Stories of John Cheever,John Cheever,United States,4.27,12040.0,4.158065986717255
9780679729914,The Best of Roald Dahl,Roald Dahl,Fiction,4.38,6067.0,4.15796550278551
9780312364526,James Herriot's Dog Stories,James Herriot,Pets,4.4,5558.0,4.157804865704486
9781400031047,My Name Is Asher Lev,Chaim Potok,Fiction,4.2,31846.0,4.157742118434402
9780451525260,Les Miserables a New Unabridged Translation,Victor Hugo,Fiction,4.16,559595.0,4.15759670299899
9780688172176,Phantoms in the Brain,V. S. Ramachandran,Medical,4.25,14549.0,4.157572488649926
9780345384225,The Transition of H.P. Lovecraft,Howard Phillips Lovecraft,Fiction,4.3,9380.0,4.157002810399163
9781406904833,Nöddebo Parsonage,Bentley,,4.32,8206.0,4.156738099193193
9780312983864,Hard Eight,Janet Evanovich,Fiction,4.17,99289.0,4.156519959014639
9780425143322,Without Remorse,Tom Clancy,Fiction,4.18,51824.0,4.154416950909442
9780553380163,A Brief History of Time,Stephen Hawking,Science,4.16,214520.0,4.153835850929452
9780689861130,"Moo, Baa, la la La!",Sandra Boynton,Animal sounds,4.2,28261.0,4.153319469991868
9780060974992,Savage Inequalities,Jonathan Kozol,Education,4.24,15021.0,4.152500491569718
9781932664089,Scott Pilgrim's Precious Little Life,,Comics & Graphic Novels,4.16,149508.0,4.151258742003482
9780380710829,The Grass Crown,Colleen McCullough,Fiction,4.29,9397.0,4.151054950697288
9780425200452,Murder on the Orient Express,Agatha Christie,Fiction,4.16,144452.0,4.150964975331352
